timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645085322182,1159,instant_token,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,472,361,1,1,https://www.bjbsoft.com/auth-node/instant_token,1159,0,878
1645085323349,338,auth-node/login,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,12976,880,1,1,https://www.bjbsoft.com/auth-node/login,338,0,0
1645085323689,287,loginsettings,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,667,810,1,1,https://www.bjbsoft.com/auth-node/loginsettings,287,0,0
1645085323977,287,user/ispatient,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,395,820,1,1,https://www.bjbsoft.com/ums-node/user/ispatient,287,0,0
1645085324265,280,service_auth_token,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,889,420,1,1,https://www.bjbsoft.com/auth-node/service_auth_token,280,0,0
1645085324546,286,servicesidebarlinks,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,1149,837,1,1,https://www.bjbsoft.com/auth-node/servicesidebarlinks,286,0,0
1645085324833,278,getStorage,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,580,765,1,1,https://www.bjbsoft.com/inv-node/common/getStorage,278,0,0
1645085325112,278,invoiceprofile_details-1,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,1084,808,1,1,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,278,0,0
1645085325391,1103,dashboard/details/,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,38948,799,1,1,https://www.bjbsoft.com/inv-node/rm/dashboard/details/,835,0,0
1645085326495,278,invoice_subservices,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,715,801,1,1,https://www.bjbsoft.com/inv-node/common/invoice_subservices,278,0,0
1645085326774,278,paycycle_type,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,542,779,1,1,https://www.bjbsoft.com/inv-node/common/paycycle_type,278,0,0
1645085327053,327,generated_invoices-current-month,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,321,926,1,1,https://www.bjbsoft.com/inv-node/rm/generate/generated_invoices,327,0,0
1645085327381,279,invoiceprofile_details-current-month,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,1084,832,1,1,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,279,0,0
1645085327661,299,user/eligibility/-current-month,200,OK,[TG] INVOICE - 1 Users 1-1,text,true,,10069,844,1,1,https://www.bjbsoft.com/inv-node/rm/user/eligibility/,299,0,0
