timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645086502205,310,auth-node/login,200,OK,[TG] INVOICE - 10 Users 1-9,text,true,,9800,877,9,9,https://www.bjbsoft.com/auth-node/login,310,0,0
1645086502253,316,generated_invoices-current-month,200,OK,[TG] INVOICE - 10 Users 1-4,text,true,,321,929,9,9,https://www.bjbsoft.com/inv-node/rm/generate/generated_invoices,316,0,0
1645086502530,300,rm/rates/,200,OK,[TG] INVOICE - 10 Users 1-6,text,true,,1192,1018,9,9,https://www.bjbsoft.com/inv-node/rm/rates/,300,0,0
1645086502569,293,rm/rules/,200,OK,[TG] INVOICE - 10 Users 1-3,text,true,,1509,1007,9,9,https://www.bjbsoft.com/inv-node/rm/rules/,293,0,0
1645086502616,288,rm/rules/,200,OK,[TG] INVOICE - 10 Users 1-7,text,true,,1509,1008,9,9,https://www.bjbsoft.com/inv-node/rm/rules/,288,0,0
1645086502751,297,loginsettings,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,671,810,9,9,https://www.bjbsoft.com/auth-node/loginsettings,297,0,0
1645086502823,283,service_auth_token,200,OK,[TG] INVOICE - 10 Users 1-5,text,true,,891,420,9,9,https://www.bjbsoft.com/auth-node/service_auth_token,283,0,0
1645086502835,326,generated_invoices-current-month,200,OK,[TG] INVOICE - 10 Users 1-8,text,true,,321,926,9,9,https://www.bjbsoft.com/inv-node/rm/generate/generated_invoices,326,0,0
1645086503004,281,/inv-node/rm/wp/,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,321,1067,9,9,https://www.bjbsoft.com/inv-node/rm/wp/,281,0,0
1645086503361,279,invoiceprofile_details-current-month,200,OK,[TG] INVOICE - 10 Users 1-4,text,true,,1106,835,9,9,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,279,0,0
1645086503392,278,sc_md/sc_get,200,OK,[TG] INVOICE - 10 Users 1-3,text,true,,321,851,9,9,https://www.bjbsoft.com/inv-node/rm/sessional/sc_md/sc_get,278,0,0
1645086503466,294,loginsettings,200,OK,[TG] INVOICE - 10 Users 1-9,text,true,,668,807,9,9,https://www.bjbsoft.com/auth-node/loginsettings,294,0,0
1645086503570,290,sessional/pst/save,200,OK,[TG] INVOICE - 10 Users 1-6,text,true,,483,6891,9,9,https://www.bjbsoft.com/inv-node/rm/sessional/pst/save,290,0,0
1645086503730,277,invoiceprofile_details-current-month,200,OK,[TG] INVOICE - 10 Users 1-8,text,true,,1084,832,9,9,https://www.bjbsoft.com/inv-node/invoice/invoiceprofile_details,277,0,0
1645086503800,290,servicesidebarlinks,200,OK,[TG] INVOICE - 10 Users 1-5,text,true,,1149,839,9,9,https://www.bjbsoft.com/auth-node/servicesidebarlinks,290,0,0
1645086503829,289,user/ispatient,200,OK,[TG] INVOICE - 10 Users 1-1,text,true,,395,820,9,9,https://www.bjbsoft.com/ums-node/user/ispatient,289,0,0
1645086503858,281,sc_md/sc_get,200,OK,[TG] INVOICE - 10 Users 1-7,text,true,,321,852,9,9,https://www.bjbsoft.com/inv-node/rm/sessional/sc_md/sc_get,281,0,0
1645086504099,282,existing_entry_items-3,200,OK,[TG] INVOICE - 10 Users 1-2,text,true,,321,861,9,9,https://www.bjbsoft.com/inv-node/rm/entry/existing_entry_items,282,0,0
1645086504188,280,/existing_entry_items,200,OK,[TG] INVOICE - 10 Users 1-3,text,true,,321,852,9,9,https://www.bjbsoft.com/inv-node/rm/entry/existing_entry_items,280,0,0
1645086504261,292,user/eligibility/-current-month,200,OK,[TG] INVOICE - 10 Users 1-4,text,true,,6951,847,9,9,https://www.bjbsoft.com/inv-node/rm/user/eligibility/,292,0,0
1645086484732,5909,patientsessional,200,"Number of samples in transaction : 18, number of failing samples : 0",[TG] INVOICE - 10 Users 1-2,,true,,26400,21893,9,9,null,5908,13948,825
1645086504517,75,doc_entry_items-1,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: java.net.SocketException: Socket closed,[TG] INVOICE - 10 Users 1-6,text,false,,3685,0,4,4,https://www.bjbsoft.com/inv-node/rm/entry/doc_entry_items,0,0,0
